claim_id,claim,domain,masculine_score
14384571_252_A1I4CYG5YDFTYM,Parents' religious beliefs should allow them to refuse medical care for their children,Religious Beliefs and Child Welfare,2
9312264_156_A1I4CYG5YDFTYM,To tip,Hospitality Industry,5
9830834_412_APW9F8OTJ4KXO,US should attack Syria,Military Intervention,9
5447986_372_A3C9GGDXBZW62D,Unpaid internship doesn't exploit college students,Labor Practices,5
11900472_0_A3PILUAB7LZGWQ,Government should not grade colleges,Higher Education Policy,5
7528422_0_A247LJDZOGXJK6,We need FEMA,Disaster Response,5
3176054_290_A1DJNUJZN8FE7N,Home schoolers do not deserve a tax break,Education Policy,5
19585313_0_A34QZDSTKZ3JO9,Obamacare is sustainable,Healthcare Policy,4
5377578_77_A1OYYWJ2B7OQTD,California doesn't need high-speed rail,Transportation Policy,5
4060466_260_A34QZDSTKZ3JO9,School librarians are expendable,Education Policy,5
7237962_286_A34QZDSTKZ3JO9,Drone attacts make more good,Military Strategy,10
18693756_24_AE861G0AY5RGT,Guns should be permitted on college campuses,Campus Safety,5
4581165_101_A34QZDSTKZ3JO9,Stop selling arms to Taiwan,International Relations,6
2852843_141_A2JKETV64OU7DY,Royal Couple could be a modern family,British Monarchy,7
4803078_343_A1DJNUJZN8FE7N,Greece will destroy the Euro Zone,European Economics,5
17277601_811_A104V8NZIQFN2F,College should not be free,Higher Education Funding,5
18554051_822_A34QZDSTKZ3JO9,Brazil should not postpone Olympics,Olympic Games,8
10100991_0_A104V8NZIQFN2F,Obamacare is not working,Healthcare Policy,5
20917193_835_AJNQ2PBD07FKE,The U.S. Embassy should be moved from Tel Aviv to Jerusalem,International Diplomacy,6
2323205_193_AA7ASGQEOMKEZ,Internet gambling should not be legalized,Gambling Policy,6
7644790_273_A1I4CYG5YDFTYM,Germany should abandon the Euro,European Union Economics,5
18653311_204_AJNQ2PBD07FKE,Overcrowded national parks should have restricted access,Environmental Conservation,4
7046664_196_A247LJDZOGXJK6,We don't need to hear from candidate's spouse,Political Campaigns,8
6516554_448_A1LZPWVZRTUZD0,Tracking kids invades privacy,Child Privacy,2
15769481_321_A138BU1VWM2RKN,Do not legitimize Frisbee,Sports,9
2700850_221_AJNQ2PBD07FKE,Colleges need humanities programs,Higher Education,4
17024278_160_A247LJDZOGXJK6,It should be illegal to declaw your cat,Animal Welfare,3
8841921_0_A1CF6U3GF7DZEJ,We should keep NATO,International Alliances,8
9419257_447_A34QZDSTKZ3JO9,Women should not delay motherhood,Women's Health,2
6890090_180_A1CF6U3GF7DZEJ,Do not stop taxing capital gains,Tax Policy,5
8385486_0_APW9F8OTJ4KXO,Public preschool is a smart investment,Early Childhood Education,2
13652278_0_APW9F8OTJ4KXO,We need the C.I.A.,Intelligence Agencies,9
6622253_637_AE861G0AY5RGT,Modern men are manly enough,Gender Roles,7
17502873_285_A1I4CYG5YDFTYM,Activists cannot be politicians,Political Activism,7
12770824_514_A1CF6U3GF7DZEJ,NATO should defend nonmembers,International Relations,8
13320024_249_A104V8NZIQFN2F,Parents should help their children with homework,Parenting and Education,3
13039830_179_AB98SGS280TY5,The U.S. should lift sanctions with Cuba,International Relations,8
5061566_95_AE861G0AY5RGT,Amazon will kill off publishers,Publishing Industry,5
4595363_428_A34QZDSTKZ3JO9,School day should not be longer,Education Policy,5
17965626_211_A34QZDSTKZ3JO92,College students' votes do matter in an election,Voting Rights,4
